case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations
exchange-random,random,0,100,9001,write,8,weak,11599.1,1048585,1048585,1048584,168,1,8,0.00591716,,,
exchange-random,random,0,100,9001,write,9,weak,11489.5,1048586,1048586,1048584,168,2,8,0.0117647,,,
exchange-random,random,0,100,9001,write,10,weak,11634.3,1048587,1048587,1048584,168,3,8,0.0175439,,,
exchange-random,random,0,100,9001,write,11,weak,11623.7,1048588,1048588,1048584,168,4,8,0.0232558,,,
exchange-random,random,0,100,9001,write,12,weak,6792.46,1048589,1048589,1048584,168,5,8,0.0289017,,,
exchange-random,random,0,100,9001,write,13,weak,7179.62,1048590,1048590,1048584,168,6,8,0.0344828,,,
exchange-random,random,0,100,9001,write,14,weak,7041.29,1048591,1048591,1048584,168,7,8,0.04,,,
exchange-random,random,0,100,9001,write,15,weak,6915.92,1048592,1048592,1048584,168,8,8,0.0454545,,,
exchange-random,random,0,100,9001,write,16,weak,10977.7,1048593,1048593,1048592,176,1,9,0.00564972,,,
exchange-random,random,0,100,9001,write,17,weak,13284.8,1048594,1048594,1048592,176,2,9,0.011236,,,
exchange-random,random,0,100,9001,write,18,weak,13038.9,1048595,1048595,1048592,176,3,9,0.0167598,,,
exchange-random,random,0,100,9001,write,19,weak,13182.1,1048596,1048596,1048592,176,4,9,0.0222222,,,
exchange-random,random,0,100,9001,write,20,weak,9143.92,1048597,1048597,1048592,176,5,9,0.0276243,,,
exchange-random,random,0,100,9001,write,21,weak,6444.5,1048598,1048598,1048592,176,6,9,0.032967,,,
exchange-random,random,0,100,9001,write,22,weak,6518.38,1048599,1048599,1048592,176,7,9,0.0382514,,,
exchange-random,random,0,100,9001,write,23,weak,7188.04,1048600,1048600,1048592,176,8,9,0.0434783,,,
exchange-random,random,0,100,9001,write,24,weak,7355.38,1048601,1048601,1048592,176,9,9,0.0486486,,,
exchange-random,random,0,100,9001,query,0,,74.5,,160,160,160,0,8,0,160,1,0
exchange-random,random,0,100,9001,query,1,,27.708,,160,160,160,0,8,0,160,1,0
exchange-random,random,0,100,9001,query,2,,22.958,,160,160,160,0,8,0,160,1,0
exchange-random,random,0,100,9001,query,3,,26.75,,160,160,160,0,8,0,160,1,0
exchange-random,random,0,100,9001,query,4,,20.875,,160,160,160,4,8,0.0243902,160,1,0
exchange-random,random,0,100,9001,query,5,,46.125,,1048580,160,160,4,8,0.0243902,1048580,1,4
exchange-random,random,0,100,9001,query,6,,24.708,,1048580,160,160,4,8,0.0243902,1048580,1,4
exchange-random,random,0,100,9001,query,7,,23.958,,1048580,160,160,4,8,0.0243902,1048580,1,4
exchange-random,random,0,100,9001,query,8,,33.583,,1048580,160,160,8,8,0.047619,1048580,1,4
exchange-random,random,0,100,9001,query,9,,46.25,,1048584,160,160,8,8,0.047619,1048584,1,8
exchange-random,random,0,100,9001,query,10,,28.125,,1048584,160,160,8,8,0.047619,1048584,1,8
exchange-random,random,0,100,9001,query,11,,29.792,,1048584,160,160,8,8,0.047619,1048584,1,8
exchange-random,random,0,100,9001,query,12,,27.291,,1048584,160,168,4,8,0.0232558,1048584,1,8
exchange-random,random,0,100,9001,query,13,,79.542,,1048588,1048584,168,4,8,0.0232558,1048588,1,4
exchange-random,random,0,100,9001,query,14,,40.75,,1048588,1048584,168,4,8,0.0232558,1048588,1,4
exchange-random,random,0,100,9001,query,15,,40.75,,1048588,1048584,168,4,8,0.0232558,1048588,1,4
exchange-random,random,0,100,9001,query,16,,34.459,,1048588,1048584,168,4,8,0.0232558,1048588,1,4
exchange-random,random,0,100,9001,query,17,,5932.75,,1048592,1048584,168,8,8,0.0454545,1048592,1,8
