case,workload,repetition,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,frontier_ok,recovery_ok,strict_ok
strict-random,random,6,4,191.259,18303,33348.4,36758.7,0,0,0,8085.25,50.0205,11540.6,17035.2,171.52,1.48,2,2,0.2,12,13,13,0,91.8041,1.92308,12,0,0,1.48572,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-count,random,6,4,329.64,11459.9,14772.3,15079.1,0,0,0,7209.12,41.229,10268.3,10795.8,170.56,2.44,4,4,0.0243902,6,7,7,0,79.1136,3.57143,6,0,0,1.01345,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot-guard,hot,6,4,97.051,3310.88,4995.13,5148.76,49219.8,52829.8,52848.6,1166.92,44.521,45802.1,50381.3,173.8,0.4,4,9,0.0243902,22,22,22,0,85.4049,1.13636,16,0,0,2.53086,1,5.464,0,0,0,0,0,0,1,1,1
strict-hot,hot,6,4,215.581,16168.9,23157.7,26070.8,0,0,0,7204.42,31.375,14499.6,18568.4,171.52,1.48,2,2,0.2,12,13,13,0,103.479,1.92308,12,0,0,3.65222,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-time,random,6,4,205.109,18999,35112,36954.6,0,0,0,965.5,46.4165,82.0397,21681.5,170.92,2.08,4,1638,0.0243902,7,8,8,0,57.4305,3.125,0,8,0,1.70443,0,-1,0,0,0,0,0,0,1,1,1
exchange-random,random,6,4,453.633,6735.58,13521.5,14406.3,0,0,0,7535.92,50.708,9525.63,12087.1,168.32,4.68,9,9,0.0486486,2,3,3,0,36.2906,8.33333,2,0,0,0.982205,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
stable-group,random,6,4,283.143,0,0,0,12813.7,14814.6,14822.5,1123.96,42.729,12066.1,13952.6,174.44,0,0,0,0.4,7,7,7,0,79.2801,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot,hot,7,4,435.041,7187.96,13468.8,13482.7,0,0,0,6598.42,34.4375,8675.39,12312.5,168.32,4.68,9,9,0.0486486,2,3,3,0,34.8033,8.33333,2,0,0,4.24844,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
fixed-count,random,7,4,318.48,11801,15360.6,16486.9,0,0,0,6705.67,45.0625,11007.8,12481.6,170.56,2.44,4,4,0.0243902,6,7,7,0,76.4353,3.57143,6,0,0,0.762601,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-random,random,7,4,225.71,16072.6,23257.8,24363.4,0,0,0,6494.08,36.6245,11583.9,18472.9,171.52,1.48,2,2,0.2,12,13,13,0,108.341,1.92308,12,0,0,1.29401,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
