case,workload,repetition,hnsw_seed,tail_seed,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,crash_frontier,crash_visible_lsn,crash_durable_lsn,crash_child_status,exposed_weak_records,surviving_weak_records,lost_weak_records,has_L_lt_M,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,stable_records_unchanged,cohort_records_unchanged,cohort_expectations_ok,post_recovery_suffix_ok,frontier_ok,recovery_ok,strict_ok
fixed-count,random,4,117,9005,4,383.093,10366.5,11305.2,11587.3,0,0,0,6904.29,10.417,8652.84,9228.98,170.56,2.44,4,4,0.0243902,6,7,7,0,91.9423,3.57143,6,0,0,1.2976,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,4,117,45005,4,156.104,3825.48,6404.58,6660.35,28848.5,34713.8,36162,1141.29,10.8125,14555.1,27016.4,173.8,0.4,4,9,0.0243902,22,22,22,0,137.371,1.13636,16,0,0,2.7033,1,6.779,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
stable-group,random,4,100,9005,4,300.884,0,0,0,12865.9,13842.6,13847.2,1149.54,10.8745,10575.1,11775.4,174.44,0,0,0,0.4,7,7,7,0,84.2474,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,4,100,45005,4,254.485,15831,16851.5,17202.4,0,0,0,6749.21,12.2915,14177.4,15489.1,171.52,1.48,2,2,0.2,12,13,13,0,122.153,1.92308,12,0,0,3.62505,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
stable-group,random,5,117,9006,4,356.136,0,0,0,10754.6,11000.6,11002.3,1145.5,10.25,9118.81,9721.24,174.44,0,0,0,0.4,7,7,7,0,99.718,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,5,117,45006,4,587.006,5040.46,10518.1,10671.7,0,0,0,6830.17,9.7705,5631.05,8767.31,168.32,4.68,9,9,0.0486486,2,3,3,0,46.9605,8.33333,2,0,0,4.20717,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
strict-random,random,5,100,9006,4,268.157,13936.6,18402.7,18811.9,0,0,0,6650.5,11.584,15023.8,15722.6,171.52,1.48,2,2,0.2,12,13,13,0,128.715,1.92308,12,0,0,1.2182,0,-1,strict-cap-before-fence,2097154,1048601,87,2,0,2,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,5,100,45006,4,168.774,3392.08,4887.65,5021.03,26836.6,31812.9,33050,1144.08,10.2085,25146.7,27760.9,173.8,0.4,4,9,0.0243902,22,22,22,0,148.521,1.13636,16,0,0,2.84158,1,5.097,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,5,117,45006,4,259.865,15061.3,17790.2,17900.1,0,0,0,6812.96,10.229,14336.9,15750.8,171.52,1.48,2,2,0.2,12,13,13,0,124.735,1.92308,12,0,0,3.61622,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
exchange-random,random,5,100,9006,4,457.445,6592.79,15226.9,15471.7,0,0,0,6260.88,13.646,5610.71,12016.9,168.32,4.68,9,9,0.0486486,2,3,3,0,36.5956,8.33333,2,0,0,0.852445,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
