case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations,crash_frontier,expected_recovery,crash_child_status
fixed-count,random,0,117,9001,cleanup-fence,0,stable,6266.58,0,0,0,0,0,0,0,0,0,0,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,0,weak,1286.29,1048577,1048577,160,160,1,8,0.00621118,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,1,weak,4406.08,1048579,1048579,160,160,3,8,0.0184049,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,2,weak,2995.08,1048578,1048578,160,160,2,8,0.0123457,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,3,weak,5825.33,1048580,1048580,160,160,4,8,0.0243902,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,4,weak,6432.42,1048581,1048581,160,160,5,8,0.030303,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,5,weak,5967.08,1048582,1048582,160,160,6,8,0.0361446,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,6,weak,6099.71,1048583,1048583,160,160,7,8,0.0419162,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,7,weak,5945.71,1048584,1048584,160,160,8,8,0.047619,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,8,weak,10910.4,1048585,1048585,1048584,168,1,8,0.00591716,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,9,weak,11063.5,1048586,1048586,1048584,168,2,8,0.0117647,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,10,weak,10791.5,1048587,1048587,1048584,168,3,8,0.0175439,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,11,weak,10786.9,1048588,1048588,1048584,168,4,8,0.0232558,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,12,weak,5727.96,1048589,1048589,1048584,168,5,8,0.0289017,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,13,weak,5441.12,1048590,1048590,1048584,168,6,8,0.0344828,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,14,weak,5380.67,1048591,1048591,1048584,168,7,8,0.04,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,15,weak,6813.88,1048592,1048592,1048584,168,8,8,0.0454545,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,16,weak,11827.5,1048593,1048593,1048592,176,1,9,0.00564972,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,17,weak,12214.3,1048594,1048594,1048592,176,2,9,0.011236,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,18,weak,12566.4,1048595,1048595,1048592,176,3,9,0.0167598,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,19,weak,11052.2,1048596,1048596,1048592,176,4,9,0.0222222,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,20,weak,6299.25,1048597,1048597,1048592,176,5,9,0.0276243,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,21,weak,6071.75,1048598,1048598,1048592,176,6,9,0.032967,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,22,weak,5905.71,1048599,1048599,1048592,176,7,9,0.0382514,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,23,weak,5701.21,1048600,1048600,1048592,176,8,9,0.0434783,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,24,weak,5741.58,1048601,1048601,1048592,176,9,9,0.0486486,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,0,,24.667,,160,160,160,0,8,0,160,1,0,terminal-unfenced-suffix,,-1
