case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations,crash_frontier,expected_recovery,crash_child_status
fixed-count,random,0,117,9001,query,10,,43.416,,1048584,1048580,164,4,4,0.0238095,1048584,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,11,,39.917,,1048584,1048580,164,4,4,0.0238095,1048584,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,12,,16297.7,,1048588,1048584,168,4,4,0.0232558,1048588,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,13,,183.083,,1048588,1048584,168,4,4,0.0232558,1048588,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,14,,58.875,,1048588,1048584,168,4,4,0.0232558,1048588,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,15,,16238.2,,1048592,1048588,172,4,4,0.0227273,1048592,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,16,,53.083,,1048592,1048588,172,4,4,0.0227273,1048592,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,17,,44.792,,1048592,1048588,172,4,4,0.0227273,1048592,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,18,,44.208,,1048592,1048588,172,4,4,0.0227273,1048592,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,19,,14282,,1048596,1048592,176,4,4,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,20,,49.958,,1048596,1048592,176,4,4,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,21,,58,,1048596,1048592,176,4,4,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,22,,74.708,,1048596,1048592,176,4,4,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,23,,15483.8,,1048600,1048596,180,4,4,0.0217391,1048600,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,24,,67.458,,1048600,1048596,180,4,4,0.0217391,1048600,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,25,,68.625,,1048600,1048596,180,4,4,0.0217391,1048600,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,26,,65.792,,1048600,1048596,180,4,4,0.0217391,1048600,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,27,,11460.5,,1048601,1048600,184,1,4,0.00540541,1048601,1,1,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,28,,64.416,,1048601,1048600,184,1,4,0.00540541,1048601,1,1,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,29,,55.417,,1048601,1048600,184,1,4,0.00540541,1048601,1,1,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,30,,50.459,,1048601,1048600,184,1,4,0.00540541,1048601,1,1,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,31,,46.709,,1048601,1048600,184,1,4,0.00540541,1048601,1,1,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,cleanup-fence,0,stable,7938.58,0,0,0,0,0,0,0,0,0,0,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,0,weak,1806.21,1048577,1048577,160,160,1,8,0.00621118,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,1,weak,3561.38,1048578,1048578,160,160,2,8,0.0123457,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,2,weak,5453.92,1048579,1048579,160,160,3,8,0.0184049,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,3,weak,7118.79,1048580,1048580,160,160,4,8,0.0243902,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,4,weak,7892.71,1048581,1048581,160,160,5,8,0.030303,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,5,weak,8003,1048582,1048582,160,160,6,8,0.0361446,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,6,weak,8094.5,1048583,1048583,160,160,7,8,0.0419162,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,7,weak,8042.62,1048584,1048584,160,160,8,8,0.047619,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,8,weak,13641.5,1048585,1048585,1048584,168,1,8,0.00591716,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,9,weak,13284.6,1048586,1048586,1048584,168,2,8,0.0117647,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,10,weak,12871.2,1048587,1048587,1048584,168,3,8,0.0175439,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,11,weak,12859.2,1048588,1048588,1048584,168,4,8,0.0232558,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,12,weak,7658.42,1048589,1048589,1048584,168,5,8,0.0289017,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,13,weak,8090.46,1048590,1048590,1048584,168,6,8,0.0344828,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,14,weak,8347.67,1048591,1048591,1048584,168,7,8,0.04,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,15,weak,8310.25,1048592,1048592,1048584,168,8,8,0.0454545,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,16,weak,13420.6,1048593,1048593,1048592,176,1,9,0.00564972,,,,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,write,17,weak,13150.1,1048594,1048594,1048592,176,2,9,0.011236,,,,terminal-unfenced-suffix,,-1
