case,workload,repetition,hnsw_seed,tail_seed,requested_ack,writers,writes,queries,k_min,epsilon,comparison_epsilon,configured_cap,group_delay_us,index,actual_ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,receipt_cap,risk
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,6,weak,19775,1048583,1048583,1048582,166,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,7,weak,20221.666000000001,1048584,1048584,1048582,166,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,8,weak,20782.375,1048585,1048585,1048584,168,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,9,weak,20736.542000000001,1048586,1048586,1048584,168,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,10,weak,19830.25,1048587,1048587,1048586,170,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,11,weak,22090.125,1048588,1048588,1048586,170,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,12,weak,29864.208999999999,1048589,1048589,1048588,172,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,13,weak,30416.375,1048590,1048590,1048588,172,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,14,weak,30819.542000000001,1048591,1048591,1048590,174,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,15,weak,29445.25,1048592,1048592,1048590,174,2,2,0.20000000000000001
