case,workload,repetition,hnsw_seed,tail_seed,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,crash_frontier,crash_visible_lsn,crash_durable_lsn,crash_child_status,exposed_weak_records,surviving_weak_records,lost_weak_records,has_L_lt_M,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,stable_records_unchanged,cohort_records_unchanged,cohort_expectations_ok,post_recovery_suffix_ok,frontier_ok,recovery_ok,strict_ok
exchange-hot-guard,hot,5,100,45006,4,96.8137,5624.62,8906.61,9202.39,48667.7,50709,52391.1,970.5,67.542,48241.4,49164.5,173.8,0.4,4,9,0.0243902,22,22,22,0,85.196,1.13636,16,0,0,2.30986,1,9.707,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,5,117,45006,4,139.176,27924.3,34212.1,35191.6,0,0,0,17627.5,71.604,28759,33010.5,171.52,1.48,2,2,0.2,12,13,13,0,66.8043,1.92308,12,0,0,3.42813,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
exchange-random,random,5,100,9006,4,332.304,9733.75,17796.4,17910.8,0,0,0,6462.08,39.771,8239,10373.7,168.32,4.68,9,9,0.0486486,2,3,3,0,26.5844,8.33333,2,0,0,1.13606,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
fixed-count,random,5,100,9006,4,261.651,13794.2,19484.6,19812,0,0,0,7002.17,66.9375,9701.36,13086.2,170.56,2.44,4,4,0.0243902,6,7,7,0,62.7961,3.57143,6,0,0,1.35893,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
fixed-time,random,5,117,9006,4,199.267,19115.1,27895.7,28884.4,0,0,0,1207.62,47.8755,127.112,16334.1,170.92,2.08,4,1638,0.0243902,7,8,8,0,55.7948,3.125,0,8,0,0.847716,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,6,100,45007,4,289.699,11965.5,19206.9,19390.4,0,0,0,7311.54,56.8745,5467.35,10632.5,168.32,4.68,9,9,0.0486486,2,3,3,0,23.1759,8.33333,2,0,0,4.26612,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
strict-random,random,6,117,9007,4,162.504,24100.4,28201.3,28824.5,0,0,0,8860.46,48.625,22973.3,25193.6,171.52,1.48,2,2,0.2,12,13,13,0,78.0017,1.92308,12,0,0,0.835026,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
fixed-count,random,6,117,9007,4,212.722,18754.1,20538.9,20793.8,0,0,0,8580.42,72.583,18684.7,19605.8,170.56,2.44,4,4,0.0243902,6,7,7,0,51.0532,3.57143,6,0,0,0.853168,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,6,117,45007,4,93.5892,5518.48,8651.22,8904.34,48809,55831.9,55832.2,1204.42,36.4995,48633.9,53239.5,173.8,0.4,4,9,0.0243902,22,22,22,0,82.3585,1.13636,16,0,0,2.53086,1,9.317,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,6,100,45007,4,144.638,26964.9,34877.9,35634.2,0,0,0,9930.62,62.771,28087.2,32841.7,171.52,1.48,2,2,0.2,12,13,13,0,69.4264,1.92308,12,0,0,3.09959,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
fixed-time,random,6,100,9007,4,180.245,22589.9,28875.4,32961.9,0,0,0,1190.67,62.0835,175.441,101806,170.92,2.08,4,1638,0.0243902,7,8,8,0,50.4685,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-random,random,6,117,9007,4,240.875,13340.1,24696.4,24930.6,0,0,0,8333,68.542,11919.8,17492.3,168.32,4.68,9,9,0.0486486,2,3,3,0,19.27,8.33333,2,0,0,0.911279,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
