case,workload,repetition,hnsw_seed,tail_seed,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,crash_frontier,crash_visible_lsn,crash_durable_lsn,crash_child_status,exposed_weak_records,surviving_weak_records,lost_weak_records,has_L_lt_M,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,stable_records_unchanged,cohort_records_unchanged,cohort_expectations_ok,post_recovery_suffix_ok,frontier_ok,recovery_ok,strict_ok
fixed-count,random,4,117,9005,4,234.995,13955.5,32245.5,34049.9,0,0,0,6187.62,43.6255,10035.5,16646.2,170.56,2.44,4,4,0.0243902,6,7,7,0,56.3988,3.57143,6,0,0,1.27093,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,4,117,45005,4,109.086,5348.33,7578.85,7772.97,41410.4,45896.8,45901.1,1168.5,54.1875,35938.3,41533.6,173.8,0.4,4,9,0.0243902,22,22,22,0,95.996,1.13636,16,0,0,2.53086,1,8.293,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
stable-group,random,4,100,9005,4,252.221,0,0,0,12886.2,21820.1,21834.2,1167.75,56.5,5334.39,12538.9,174.44,0,0,0,0.4,7,7,7,0,70.6218,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,4,100,45005,4,143.137,27778.8,36599.9,37505.7,0,0,0,14797.3,59.167,29579.3,31241.3,171.52,1.48,2,2,0.2,12,13,13,0,68.7059,1.92308,12,0,0,3.32132,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
stable-group,random,5,117,9006,4,235.002,0,0,0,13893.4,22840.8,22859.7,1196.88,36.7915,16992.7,21111,174.44,0,0,0,0.4,7,7,7,0,65.8007,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,5,117,45006,4,334.31,10243.6,17341.2,18440,0,0,0,7057.38,58.3125,8205.54,10947.5,168.32,4.68,9,9,0.0486486,2,3,3,0,26.7448,8.33333,2,0,0,4.28162,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
strict-random,random,5,100,9006,4,154.916,22925.5,41437.6,41685.9,0,0,0,7452.62,60.625,23388.6,29346.7,171.52,1.48,2,2,0.2,12,13,13,0,74.3596,1.92308,12,0,0,1.06591,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,5,100,45006,4,114.597,4459.77,6561.62,6742.66,36900.5,47756.3,47761.5,1176.67,54.292,34275.9,41225.2,173.8,0.4,4,9,0.0243902,22,22,22,0,100.845,1.13636,16,0,0,2.53086,1,7.116,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,5,117,45006,4,168.126,22817.9,31654.3,32077.4,0,0,0,9255.46,34.0005,26854.2,30594.2,171.52,1.48,2,2,0.2,12,13,13,0,80.7005,1.92308,12,0,0,3.75676,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
exchange-random,random,5,100,9006,4,446.732,7154.21,13358.8,13426.3,0,0,0,6404,46.3745,5301.38,9134.81,168.32,4.68,9,9,0.0486486,2,3,3,0,35.7385,8.33333,2,0,0,1.15069,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
fixed-count,random,5,100,9006,4,288.652,11981.6,20364.4,20735.9,0,0,0,5933.17,36.812,10926.2,13243.7,170.56,2.44,4,4,0.0243902,6,7,7,0,69.2764,3.57143,6,0,0,1.27011,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
fixed-time,random,5,117,9006,4,256.183,13941.2,22735.7,25916.9,0,0,0,1320.25,57.125,163.879,70861.1,170.92,2.08,4,1638,0.0243902,7,8,8,0,71.7311,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,6,100,45007,4,406.87,9188.88,13062.2,13182.9,0,0,0,7431.08,35.625,6056.36,10130.4,168.32,4.68,9,9,0.0486486,2,3,3,0,32.5496,8.33333,2,0,0,4.24445,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
strict-random,random,6,117,9007,4,208.784,18810.2,22871.1,23799.1,0,0,0,8091.46,41.167,18224.4,19970.3,171.52,1.48,2,2,0.2,12,13,13,0,100.216,1.92308,12,0,0,1.10817,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
fixed-count,random,6,117,9007,4,292.457,12509.6,17505.4,18729.5,0,0,0,9085.08,59.396,8311.98,10599.2,170.56,2.44,4,4,0.0243902,6,7,7,0,70.1898,3.57143,6,0,0,0.948471,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,6,117,45007,4,121.31,4094.25,6161.43,6344.75,37956.5,45850.4,45851.1,1163.88,55.7705,17560.3,41019.7,173.8,0.4,4,9,0.0243902,22,22,22,0,106.752,1.13636,16,0,0,2.53086,1,6.553,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,6,100,45007,4,175.541,22799,25744.8,26459.1,0,0,0,8583.83,54.1875,22860.3,24402.6,171.52,1.48,2,2,0.2,12,13,13,0,84.2598,1.92308,12,0,0,3.45927,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
fixed-time,random,6,100,9007,4,311.611,12041.7,17860.1,18168.4,0,0,0,1188.12,30.7915,57.2291,91.9323,170.92,2.08,4,1638,0.0243902,7,8,8,0,87.2511,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-random,random,6,117,9007,4,439.445,6239.21,17293.8,17384.7,0,0,0,6176.08,13.3955,5487.55,12829.1,168.32,4.68,9,9,0.0486486,2,3,3,0,35.1556,8.33333,2,0,0,1.03485,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
stable-group,random,6,100,9007,4,351.582,0,0,0,10722.8,10914,10930.2,1148.79,10.5835,9127.49,9725.29,174.44,0,0,0,0.4,7,7,7,0,98.443,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,7,117,45008,4,532.635,6235.62,10870.9,11073.6,0,0,0,6668.33,13.604,5999.62,9535.6,168.32,4.68,9,9,0.0486486,2,3,3,0,42.6108,8.33333,2,0,0,4.20128,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
fixed-count,random,7,100,9008,4,343.464,10639.7,15520.2,15684.3,0,0,0,6685.29,32.2715,6508.14,11084.3,170.56,2.44,4,4,0.0243902,6,7,7,0,82.4314,3.57143,6,0,0,0.653107,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
strict-random,random,7,100,9008,4,161.93,21664.2,40967.2,43172.3,0,0,0,6899.75,42,7137.79,27999.1,171.52,1.48,2,2,0.2,12,13,13,0,77.7264,1.92308,12,0,0,1.29714,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
stable-group,random,7,117,9008,4,303.783,0,0,0,11838,13733.5,13744.5,1158.58,36.7705,10784.2,12042.3,174.44,0,0,0,0.4,7,7,7,0,85.0592,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
fixed-time,random,7,117,9008,4,319.165,11405.9,16941,17934.1,0,0,0,1221.92,52.0625,79.71,59101.8,170.92,2.08,4,1638,0.0243902,7,8,8,0,89.3663,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,7,117,45008,4,234.645,16849.4,18835.3,19319.9,0,0,0,8326.17,37.375,15079.9,18168,171.52,1.48,2,2,0.2,12,13,13,0,112.63,1.92308,12,0,0,3.54035,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
exchange-random,random,7,100,9008,4,471.855,7585.12,11678.3,11834.4,0,0,0,6933.54,33.8545,8125.08,10198.9,168.32,4.68,9,9,0.0486486,2,3,3,0,37.7484,8.33333,2,0,0,0.82098,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
